FPAngleAtPKAM1,FPAngleAverage,KAMImpulse,KneeAbdAngleAverage,LimbPGRF1,LimbPGRF2,PKAM1,PKAM2,PKEM,PKFM,TLAngleAtPKAM1,Speed,Stride_Length_Mean,Stride_Width_Mean,Subject,Condition,Limb
-12.574442,-13.331587,-0.183672,8.538591,1.10645,1.082734,-0.418741,-0.283027,0.230158,-0.144981,-4.668468,0.99163,1.20979,0.08761,6,Normal,Dominant
-8.172741,-8.028527,-0.050185,-4.003866,1.199005,1.213108,-0.228706,-0.08426,0.421401,-0.179861,-3.469338,1.44028,1.52669,0.08078,7,Normal,Dominant
-4.428236,-4.833085,-0.081161,4.704631,1.205625,1.177521,-0.344649,-0.202082,0.167578,-0.147662,4.52825,1.47867,1.49346,0.13643,8,Normal,Dominant
-14.533083,-14.934114,-0.12623,3.72835,1.14514,1.048653,-0.404433,-0.200802,0.179564,-0.20541,2.298224,1.36344,1.49297,0.16531,9,Normal,Dominant
-16.665787,-17.394381,-0.087543,2.626727,0.954932,0.929785,-0.249388,-0.143122,0.224471,-0.194448,5.893117,1.23706,1.4288,0.11355,10,Normal,Dominant
-8.969876,-9.592963,-0.08177,0.976572,1.155984,1.115242,-0.240575,-0.156497,0.454163,-0.111157,4.753913,1.12731,1.32459,0.12557,11,Normal,Dominant
-14.429337,-14.658171,-0.065383,1.463673,1.101228,1.100527,-0.272839,-0.10164,0.226994,-0.079775,1.588323,1.33012,1.33012,0.17411,12,Normal,Dominant
-9.207104,-9.115085,-0.068577,-2.361224,1.164481,1.05593,-0.242862,-0.139859,0.542165,-0.006372,-0.153257,1.18105,1.28144,0.16047,13,Normal,Dominant
-14.112961,-14.903173,-0.05102,5.246676,1.310846,1.255637,-0.397916,-0.079812,0.349476,-0.22455,4.704274,1.36823,1.38191,0.13199,14,Normal,Dominant
-9.096943,-9.686705,-0.078074,3.516344,0.918021,1.084635,-0.248359,-0.131544,-0.060273,-0.122903,-3.6894,1.24132,1.3158,0.14102,15,Normal,Dominant
-5.203626,-6.547337,-0.071185,4.719586,1.263228,1.117166,-0.215445,-0.14999,0.433424,-0.163209,4.939693,1.19026,1.34499,0.18291,0,Normal,Dominant
-7.200754,-7.852233,-0.051779,4.06352,1.093454,1.087514,-0.313108,-0.043183,0.235882,-0.305328,1.222332,1.49744,1.46749,0.18509,1,Normal,Dominant
-10.942836,-11.758194,-0.050414,0.723748,1.13237,1.084632,-0.122362,-0.12846,0.381515,-0.027108,1.53582,1.20761,1.34045,0.0968,2,Normal,Dominant
-2.804153,-3.886538,-0.04459,-0.678254,1.133355,1.246165,-0.252436,-0.082373,-0.033959,-0.222922,3.78246,1.23591,1.33478,0.15912,3,Normal,Dominant
-11.395522,-12.070189,-0.047441,1.946608,1.170575,1.145859,-0.226398,-0.082224,0.283847,-0.096692,4.910871,1.24005,1.26485,0.08768,4,Normal,Dominant
-9.045148,-10.071733,-0.092634,8.245923,1.011266,1.118094,-0.241708,-0.143893,0.17335,-0.09571,1.139188,0.9635,1.18029,0.18025,5,Normal,Dominant
-11.750122,-11.980005,-0.168548,9.215664,1.153772,1.166993,-0.417662,-0.319017,0.336391,-0.189838,-4.333131,1.06821,1.20174,0.12135,6,Normal,Dominant
-2.629946,-2.329243,-0.059081,-4.265172,1.229996,1.259331,-0.246479,-0.15315,0.515096,-0.1074,-1.699146,1.41607,1.52935,0.11664,7,Normal,Dominant
-3.038498,-3.944594,-0.108884,4.510699,1.234804,1.081339,-0.379502,-0.257419,0.188901,-0.206081,4.386755,1.52941,1.52176,0.14185,8,Normal,Dominant
-8.947435,-9.082603,-0.112102,3.616805,1.272066,1.144164,-0.440906,-0.198349,0.28643,-0.096122,2.656756,1.34099,1.54214,0.07537,9,Normal,Dominant
-16.207466,-16.945391,-0.067523,2.94404,1.027027,1.005594,-0.250648,-0.08714,0.331336,-0.077815,5.306539,1.23662,1.44684,0.13436,10,Normal,Dominant
-4.993552,-5.662705,-0.080782,0.935041,1.126533,1.08349,-0.228595,-0.155723,0.38465,-0.094761,3.28788,1.1301,1.31092,0.11934,11,Normal,Dominant
-14.960441,-15.342986,-0.068503,1.605146,1.091179,1.058998,-0.260681,-0.110293,0.232119,-0.051575,1.595045,1.30585,1.31238,0.17696,12,Normal,Dominant
-7.125936,-7.428018,-0.067957,-2.523007,1.100523,1.083564,-0.2094,-0.152023,0.498852,0.024432,1.327811,1.17495,1.26307,0.20748,13,Normal,Dominant
-11.196781,-11.685308,-0.058048,5.631719,1.2921,1.123073,-0.390516,-0.101113,0.303206,-0.224256,5.241792,1.25281,1.30919,0.13465,14,Normal,Dominant
-10.390125,-11.031751,-0.07576,3.51829,0.92064,1.103951,-0.23249,-0.112874,-0.032591,-0.117555,-2.996995,1.21068,1.30148,0.09232,15,Normal,Dominant
-6.282888,-6.781648,-0.072403,4.607274,1.197566,1.154946,-0.208319,-0.162747,0.34989,-0.169064,4.04065,1.14497,1.33962,0.147,0,Normal,Dominant
-8.294275,-8.913653,-0.045799,2.67962,1.152346,1.163329,-0.323301,-0.05141,0.184673,-0.355498,2.128861,1.52361,1.53885,0.15397,1,Normal,Dominant
-11.604519,-12.359838,-0.052311,0.733023,1.10226,1.074925,-0.128319,-0.121489,0.334394,-0.044311,1.337962,1.16167,1.3243,0.09428,2,Normal,Dominant
-3.318814,-3.980902,-0.042163,-0.629609,1.085742,1.187879,-0.236143,-0.111676,-0.028738,-0.252647,5.04447,1.2355,1.3467,0.14463,3,Normal,Dominant
-16.044807,-16.201242,-0.049015,2.594635,1.12069,1.115628,-0.199686,-0.06847,0.245391,-0.106377,4.025225,1.16161,1.19646,0.07509,4,Normal,Dominant
-10.636947,-11.509753,-0.096981,8.393486,1.018284,1.084544,-0.236006,-0.129916,0.150687,-0.155475,1.732322,0.9394,1.16016,0.16605,5,Normal,Dominant
-8.537676,-9.126948,-0.168764,8.68387,1.130463,1.105748,-0.366758,-0.317538,0.194136,-0.193003,-3.726712,0.9449,1.13388,0.12461,6,Normal,Dominant
-7.913062,-7.550688,-0.065928,-4.035541,1.174919,1.208799,-0.270502,-0.156369,0.304816,-0.242819,-2.487103,1.46786,1.54859,0.06354,7,Normal,Dominant
0.600867,0.012808,-0.090505,4.278752,1.280751,1.156092,-0.355759,-0.272641,0.227467,-0.133019,4.559716,1.52458,1.47884,0.10235,8,Normal,Dominant
-9.702032,-9.81378,-0.099231,2.754192,1.240611,1.093765,-0.398438,-0.170849,0.212329,-0.136464,2.991425,1.26592,1.46213,0.09035,9,Normal,Dominant
-18.618807,-19.137486,-0.070139,3.692503,1.043838,1.057975,-0.261625,-0.099987,0.369383,-0.078266,4.770948,1.21175,1.38139,0.13484,10,Normal,Dominant
-9.53256,-10.003871,-0.077428,0.778342,1.176944,1.127692,-0.231557,-0.138947,0.492971,-0.057292,2.314154,1.22372,1.37669,0.1324,11,Normal,Dominant
-11.960591,-12.322148,-0.071338,0.741821,1.128771,1.028559,-0.29013,-0.143963,0.281799,-0.027222,1.17101,1.30607,1.28648,0.18471,12,Normal,Dominant
-9.546314,-10.012393,-0.057064,-2.439342,1.200722,1.081607,-0.237295,-0.105772,0.527115,0.013753,0.102499,1.22437,1.26722,0.19257,13,Normal,Dominant
-16.94141,-17.586895,-0.042895,3.875054,1.201113,1.178238,-0.292469,-0.082313,0.22787,-0.279371,5.774321,1.27421,1.31243,0.12247,14,Normal,Dominant
-7.517278,-8.420291,-0.079626,3.583023,0.968772,1.066046,-0.265286,-0.13217,-0.021814,-0.126539,-2.903992,1.23423,1.27743,0.13116,15,Normal,Dominant
-3.065907,-3.57975,-0.054401,-0.893222,1.084181,1.101437,-0.214136,-0.117987,0.197551,-0.312414,0.884702,1.20477,1.34935,0.14251,0,Normal,NonDominant
-5.27828,-6.018005,-0.077236,2.876694,1.050068,1.102213,-0.257723,-0.173457,0.253492,-0.286497,3.170245,1.41523,1.44353,0.17285,1,Normal,NonDominant
-6.555472,-6.947994,-0.123591,4.134347,1.114461,1.065827,-0.308717,-0.280677,0.299261,-0.105857,3.087207,1.2431,1.35498,0.10087,2,Normal,NonDominant
2.671751,1.384833,-0.075918,-3.839417,1.024132,1.142599,-0.204991,-0.246354,-0.035079,-0.174076,-2.825487,1.30053,1.36556,0.13726,3,Normal,NonDominant
-7.124708,-7.189249,-0.060977,0.365422,1.083227,1.125337,-0.25755,-0.149021,0.15184,-0.240074,-3.761171,1.37966,1.31068,0.06839,4,Normal,NonDominant
-7.744945,-8.131937,-0.177614,9.781187,1.039852,1.097958,-0.40204,-0.312868,0.042006,-0.300122,-1.302435,1.08613,1.29249,0.15768,5,Normal,NonDominant
-20.818697,-20.708902,-0.082448,6.56831,0.902392,0.775202,-0.259239,-0.113016,0.037364,-0.044233,7.151169,0.98807,1.1758,0.07087,6,Normal,NonDominant
2.666625,2.701717,-0.062619,-0.458429,1.183796,1.19211,-0.186868,-0.155053,0.463504,-0.217848,6.058063,1.48149,1.62963,0.12276,7,Normal,NonDominant
-5.115992,-6.202927,-0.134925,-0.224206,1.21178,1.118206,-0.391805,-0.270422,0.283077,0.047476,-5.778008,1.37898,1.44793,0.09401,8,Normal,NonDominant
-17.753372,-18.262911,-0.092387,2.402521,1.128704,1.08324,-0.30915,-0.152985,0.393558,-0.075373,-1.073917,1.31956,1.47791,0.1345,9,Normal,NonDominant
-12.084053,-13.03289,-0.085275,3.186381,1.014796,1.000624,-0.280862,-0.156065,0.234622,-0.161417,-1.145312,1.27876,1.43221,0.12932,10,Normal,NonDominant
-12.452609,-13.297779,-0.152012,6.087785,1.06912,1.064974,-0.390639,-0.219723,0.305362,-0.046838,-0.117414,1.01499,1.23322,0.14521,11,Normal,NonDominant
-19.121048,-19.566832,-0.062852,-1.045629,1.048654,0.95846,-0.239696,-0.103193,0.220251,-0.02082,-1.320058,1.24459,1.3006,0.1733,12,Normal,NonDominant
-1.555824,-2.118518,-0.040086,0.881839,1.070939,1.075066,-0.15379,-0.094854,0.360147,-0.040169,0.690663,1.1709,1.28214,0.16735,13,Normal,NonDominant
-5.597172,-6.427719,-0.06067,1.867041,1.253853,1.07447,-0.280134,-0.150505,-0.046923,-0.234958,-3.37683,1.30052,1.33954,0.14395,14,Normal,NonDominant
-12.367547,-13.345225,-0.033353,1.537212,1.06037,1.047599,-0.240058,-0.087115,-0.093367,-0.165756,3.521585,1.1989,1.28283,0.13606,15,Normal,NonDominant
0.567851,-0.107933,-0.060041,-0.775075,1.105951,1.052721,-0.227801,-0.109762,0.205186,-0.366107,-0.121948,1.25104,1.35112,0.16333,0,Normal,NonDominant
-6.197632,-7.843101,-0.077608,2.819357,1.109862,1.072666,-0.29728,-0.14242,0.320908,-0.261472,0.303269,1.54233,1.52691,0.17656,1,Normal,NonDominant
-8.369308,-8.974268,-0.134947,4.520092,1.117637,1.037742,-0.313854,-0.264018,0.348449,-0.100413,3.230247,1.1867,1.34098,0.07485,2,Normal,NonDominant
2.065497,1.09088,-0.078132,-3.889901,1.042654,1.192502,-0.233203,-0.250216,-0.03865,-0.167735,-2.381136,1.33173,1.39831,0.15541,3,Normal,NonDominant
