FPAngleAtPKAM1,FPAngleAverage,KAMImpulse,KneeAbdAngleAverage,LimbPGRF1,LimbPGRF2,PKAM1,PKAM2,PKEM,PKFM,TLAngleAtPKAM1,Speed,Stride_Length_Mean,Stride_Width_Mean,Condition,Subject_0,Subject_1,Subject_2,Subject_3,Subject_4,Subject_5,Subject_6,Subject_7,Subject_8,Subject_9,Subject_10,Subject_11,Subject_12,Subject_13,Subject_14,Subject_15,Limb_Dominant,Limb_NonDominant
1.447315,-0.04535960000000002,0.07650219999999999,-4.436476,1.0357174,0.9934,0.143129,0.0901382,0.0191704,0.2014842,3.3384910000000003,0.6198359999999999,1.0024879999999998,0.293426,Wide,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-7.6501694,-8.615101,0.06484400000000001,0.22480580000000006,1.094471,1.0790646000000002,0.22272,0.10127780000000003,0.24698100000000006,0.18132,-4.6198853999999985,1.1298,1.2301360000000001,0.22754000000000002,Wide,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
-6.1808272,-6.7454703999999985,0.17501440000000001,9.485168199999999,0.9885814,1.0406739999999999,0.3286618,0.2804042,0.0384174,0.25562840000000003,0.34338040000000003,0.6903919999999999,0.919924,0.31657199999999996,Wide,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
-10.3367972,-10.9050248,0.0438064,5.911571599999999,0.985129,1.0564658000000002,0.1473118,0.07716920000000001,0.223532,0.11675999999999999,7.470157,0.840578,0.97982,0.309658,Wide,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.293605,0.4846218000000001,0.0252572,-1.2471662,0.976369,1.1156614,0.12942479999999998,0.0830206,0.17814660000000002,0.3167496,2.825666,1.235742,1.393724,0.37646,Wide,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.2916828,-2.048851,0.1008264,-2.118102,1.2307268,1.0392874,0.311508,0.1954062,0.4738938,0.0763204,-3.7237242,1.431016,1.5603420000000001,0.304076,Wide,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-17.093992200000002,-17.7242234,0.0998102,2.1700146,1.0642493999999998,1.0565094,0.2285964,0.1915666,0.3533564,0.0635976,0.3676028,1.01355,1.3176940000000001,0.301324,Wide,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
-10.3222004,-11.6768402,0.0767494,1.4605676,0.982597,0.9272326,0.21911300000000006,0.1220036,0.27511699999999994,0.13994520000000002,-0.4590757999999999,1.0353299999999999,1.233492,0.30498400000000003,Wide,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
-11.6827612,-12.84854,0.143718,5.3941750000000015,1.0791806000000002,1.0539116000000002,0.37834959999999995,0.2528038,0.45990820000000004,0.030843400000000003,-1.2072011999999999,1.107494,1.285854,0.286704,Wide,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
-16.8223642,-17.1083886,0.051098600000000015,-2.034954,1.1460568000000002,1.0305601999999998,0.21376199999999998,0.111713,0.2772914,0.1320056,-0.14465080000000002,1.2920779999999998,1.29322,0.28423200000000004,Wide,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
-8.8957098,-10.2470314,0.0189576,0.5552817999999999,1.0519396,1.0668338,0.12360919999999999,0.04102560000000001,0.45765259999999996,0.0379394,1.9397682,1.102754,1.212852,0.30437800000000004,Wide,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
-8.160297400000001,-8.768547199999999,0.049766000000000005,2.5767306000000003,1.1072544,1.1101671999999998,0.2565256,0.0508154,0.317412,0.2059978,-1.2917633999999998,1.130236,1.1706459999999999,0.295646,Wide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
-7.868666800000001,-8.503248800000001,0.046039,1.3634558,0.9661252,1.0195472,0.1748846,0.12927539999999998,0.0331756,0.0725668,5.043006,1.088644,1.261248,0.345236,Wide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
